"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Cut/Pierce"	"GRINJ-001"	42	47830261	0.1
	"< 1 year"	"1"	"Drowning"	"GRINJ-002"	900	47830261	1.9
	"< 1 year"	"1"	"Fall"	"GRINJ-003"	237	47830261	0.5
	"< 1 year"	"1"	"Fire/Flame"	"GRINJ-004"	443	47830261	0.9
	"< 1 year"	"1"	"Hot object/Substance"	"GRINJ-005"	30	47830261	0.1
	"< 1 year"	"1"	"Firearm"	"GRINJ-006"	120	47830261	0.3
	"< 1 year"	"1"	"Machinery"	"GRINJ-007"	2	47830261	Unreliable
	"< 1 year"	"1"	"Motor Vehicle Traffic"	"GRINJ-008"	1549	47830261	3.2
	"< 1 year"	"1"	"Other Pedal cyclist"	"GRINJ-009"	1	47830261	Unreliable
	"< 1 year"	"1"	"Other Pedestrian"	"GRINJ-010"	40	47830261	0.1
	"< 1 year"	"1"	"Other land transport"	"GRINJ-011"	30	47830261	0.1
	"< 1 year"	"1"	"Other transport"	"GRINJ-012"	18	47830261	Unreliable
	"< 1 year"	"1"	"Natural/Environmental"	"GRINJ-013"	216	47830261	0.5
	"< 1 year"	"1"	"Overexertion"	"GRINJ-014"	0	47830261	Unreliable
	"< 1 year"	"1"	"Poisoning"	"GRINJ-015"	408	47830261	0.9
	"< 1 year"	"1"	"Struck by or against"	"GRINJ-016"	133	47830261	0.3
	"< 1 year"	"1"	"Suffocation"	"GRINJ-017"	9913	47830261	20.7
	"< 1 year"	"1"	"Other specified, classifiable Injury"	"GRINJ-018"	1317	47830261	2.8
	"< 1 year"	"1"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	240	47830261	0.5
	"< 1 year"	"1"	"Unspecified Injury"	"GRINJ-020"	2151	47830261	4.5
	"< 1 year"	"1"	"Non-Injury: Intestinal infections"	"GR113 001-003"	803	47830261	1.7
	"< 1 year"	"1"	"Non-Injury: Tuberculosis"	"GR113 005-006"	12	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Whooping cough"	"GR113-007"	180	47830261	0.4
	"< 1 year"	"1"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	0	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Meningococcal infection"	"GR113-009"	177	47830261	0.4
	"< 1 year"	"1"	"Non-Injury: Septicemia"	"GR113-010"	3293	47830261	6.9
	"< 1 year"	"1"	"Non-Injury: Syphilis"	"GR113-011"	12	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Acute poliomyelitis"	"GR113-012"	0	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	2	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Measles"	"GR113-014"	2	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Viral hepatitis"	"GR113-015"	18	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	64	47830261	0.1
	"< 1 year"	"1"	"Non-Injury: Malaria"	"GR113-017"	2	47830261	Unreliable
	"< 1 year"	"1"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	2021	47830261	4.2
	"< 1 year"	"1"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	878	47830261	1.8
